,dry_asphalt_severe,dry_asphalt_slight,dry_asphalt_smooth,dry_concrete_severe,dry_concrete_slight,dry_concrete_smooth,dry_gravel,dry_mud,fresh_snow,ice,melted_snow,water_asphalt_severe,water_asphalt_slight,water_asphalt_smooth,water_concrete_severe,water_concrete_slight,water_concrete_smooth,water_gravel,water_mud,wet_asphalt_severe,wet_asphalt_slight,wet_asphalt_smooth,wet_concrete_severe,wet_concrete_slight,wet_concrete_smooth,wet_gravel,wet_mud
dry_asphalt_severe,730,44,3,10,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0
dry_asphalt_slight,104,2098,55,6,15,2,10,3,0,0,1,0,3,0,0,0,0,0,0,0,52,1,0,0,0,0,0
dry_asphalt_smooth,3,53,2147,0,3,37,1,1,2,2,0,0,0,3,0,0,0,0,0,0,11,75,0,1,8,1,2
dry_concrete_severe,15,13,0,2042,231,5,12,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,24,2,0,1,1
dry_concrete_slight,10,25,4,286,1938,39,25,8,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,4,2,2,1
dry_concrete_smooth,2,3,44,3,84,2123,1,4,12,2,0,0,0,0,1,0,8,0,0,0,0,1,1,1,59,0,1
dry_gravel,8,17,1,16,18,0,2165,108,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,4
dry_mud,3,1,0,0,2,2,101,2210,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28
fresh_snow,0,0,0,0,0,1,0,0,2323,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ice,0,0,0,0,0,1,0,0,8,2320,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
melted_snow,0,0,0,1,0,0,0,0,0,6,2330,0,0,9,0,0,2,0,2,0,0,0,0,0,0,0,0
water_asphalt_severe,1,1,0,0,0,0,0,0,0,0,0,660,65,2,20,1,1,22,3,15,8,0,0,0,0,1,0
water_asphalt_slight,0,0,0,0,0,0,0,0,0,0,0,38,696,20,1,4,2,3,2,1,29,3,0,1,0,0,0
water_asphalt_smooth,0,1,1,0,1,0,0,0,0,1,15,2,79,2178,4,0,23,1,2,0,4,35,0,0,3,0,0
water_concrete_severe,0,0,0,1,0,0,0,0,0,0,0,3,5,1,675,72,1,20,5,0,1,0,12,3,0,1,0
water_concrete_slight,0,0,0,0,1,0,0,0,0,0,0,2,13,1,98,587,19,10,8,0,0,1,5,55,0,0,0
water_concrete_smooth,0,0,0,0,0,7,0,1,0,0,2,0,5,23,4,32,2078,1,3,0,0,1,0,6,186,0,1
water_gravel,0,0,0,0,1,0,0,0,0,0,0,10,5,0,22,5,1,712,33,0,0,0,0,0,0,10,1
water_mud,0,0,0,0,0,0,0,1,0,0,2,7,1,3,4,7,5,56,2211,0,2,0,0,0,0,2,49
wet_asphalt_severe,2,1,1,0,0,0,0,0,0,0,0,37,3,1,0,0,0,0,0,684,61,1,4,1,2,2,0
wet_asphalt_slight,6,42,5,0,0,0,3,0,1,1,0,11,75,5,0,0,2,0,0,35,2093,45,3,7,1,14,1
wet_asphalt_smooth,0,2,38,0,0,3,0,0,0,0,2,0,6,46,1,1,0,0,1,2,65,2166,1,0,14,2,0
wet_concrete_severe,2,0,0,3,0,1,0,1,0,0,0,2,0,0,28,8,0,0,1,3,5,0,651,85,1,6,3
wet_concrete_slight,0,2,0,0,5,2,0,0,0,0,0,0,0,0,6,32,3,0,0,1,6,2,52,670,11,6,2
wet_concrete_smooth,0,0,2,0,1,45,0,1,0,0,0,0,0,3,0,2,194,0,0,1,4,20,1,24,2049,0,3
wet_gravel,0,0,0,1,1,0,13,0,0,0,3,0,0,0,0,0,0,28,1,0,9,0,4,7,1,2195,87
wet_mud,0,0,0,0,1,5,1,21,0,0,0,0,0,0,0,0,1,3,68,0,1,0,0,0,1,116,2132
