class,f1,precision,recall,support,key,friction,material,roughness,friction_material,material_roughness
water_concrete_slight,0.7569310122501612,0.7816245006657789,0.73375,800.0,True,water,concrete,slight,water_concrete,concrete_slight
water_asphalt_slight,0.7927107061503417,0.7280334728033473,0.87,800.0,True,water,asphalt,slight,water_asphalt,asphalt_slight
wet_concrete_slight,0.8038392321535693,0.7727797001153403,0.8375,800.0,True,wet,concrete,slight,wet_concrete,concrete_slight
water_concrete_severe,0.8098380323935213,0.7785467128027682,0.84375,800.0,True,water,concrete,severe,water_concrete,concrete_severe
dry_concrete_slight,0.8324742268041238,0.8404163052905465,0.8246808510638298,2350.0,True,dry,concrete,slight,dry_concrete,concrete_slight
wet_concrete_severe,0.8351507376523413,0.857707509881423,0.81375,800.0,True,wet,concrete,severe,wet_concrete,concrete_severe
water_asphalt_severe,0.8391608391608392,0.8538163001293662,0.825,800.0,False,water,asphalt,severe,water_asphalt,asphalt_severe
water_gravel,0.8599033816425121,0.8317757009345794,0.89,800.0,False,water,gravel,nonparam,water_gravel,gravel_nonparam
dry_concrete_severe,0.86543759271032,0.8619670747150696,0.8689361702127659,2350.0,True,dry,concrete,severe,dry_concrete,concrete_severe
dry_asphalt_severe,0.8659549228944247,0.8239277652370203,0.9125,800.0,False,dry,asphalt,severe,dry_asphalt,asphalt_severe
wet_concrete_smooth,0.8739603326935381,0.8760153911928175,0.8719148936170212,2350.0,True,wet,concrete,smooth,wet_concrete,concrete_smooth
wet_asphalt_severe,0.8854368932038835,0.9181208053691275,0.855,800.0,False,wet,asphalt,severe,wet_asphalt,asphalt_severe
water_concrete_smooth,0.8859518226390961,0.8876548483554036,0.8842553191489362,2350.0,True,water,concrete,smooth,water_concrete,concrete_smooth
wet_asphalt_slight,0.8902594640578477,0.8898809523809523,0.8906382978723404,2350.0,False,wet,asphalt,slight,wet_asphalt,asphalt_slight
dry_asphalt_slight,0.9017837954008167,0.9109856708640903,0.8927659574468085,2350.0,False,dry,asphalt,slight,dry_asphalt,asphalt_slight
wet_mud,0.9138448349764252,0.9205526770293609,0.9072340425531915,2350.0,False,wet,mud,nonparam,wet_mud,mud_nonparam
dry_concrete_smooth,0.918451222150119,0.934007919049714,0.9034042553191489,2350.0,False,dry,concrete,smooth,dry_concrete,concrete_smooth
wet_asphalt_smooth,0.9211141824367425,0.9205269868253294,0.9217021276595745,2350.0,False,wet,asphalt,smooth,wet_asphalt,asphalt_smooth
dry_asphalt_smooth,0.9232423134809719,0.9330725771403737,0.9136170212765957,2350.0,False,dry,asphalt,smooth,dry_asphalt,asphalt_smooth
dry_gravel,0.9244235695986337,0.927592116538132,0.9212765957446809,2350.0,False,dry,gravel,nonparam,dry_gravel,gravel_nonparam
wet_gravel,0.9302818393727484,0.9265512874630646,0.9340425531914893,2350.0,False,wet,gravel,nonparam,wet_gravel,gravel_nonparam
water_asphalt_smooth,0.9375807145931985,0.9486062717770035,0.9268085106382978,2350.0,False,water,asphalt,smooth,water_asphalt,asphalt_smooth
dry_mud,0.9382296752281893,0.9360440491317239,0.9404255319148936,2350.0,False,dry,mud,nonparam,dry_mud,mud_nonparam
water_mud,0.942656150074611,0.9444681759931653,0.9408510638297872,2350.0,False,water,mud,nonparam,water_mud,mud_nonparam
melted_snow,0.984992601986895,0.9785804283914322,0.9914893617021276,2350.0,False,snow_ice,snow,melted,snow_ice_snow,snow_melted
ice,0.9853472074750478,0.983467571004663,0.9872340425531915,2350.0,False,snow_ice,ice,ice,snow_ice_ice,ice_ice
fresh_snow,0.9893526405451448,0.9901960784313726,0.9885106382978723,2350.0,False,snow_ice,snow,fresh,snow_ice_snow,snow_fresh
